Date;Mkt-RF;SMB;HML;RF;Mkt_EW;Mkt_EW-rf;MOM;RMW;CMA;SMB5;LT_Rev;ST_Rev
194908;2,6;0,13;-0,57;0,09;2,53;2,44;1,7;;;;-1,52;1,14
194909;3,09;1,05;0,23;0,09;4,33;4,24;-1,42;;;;-0,59;0,44
194910;3,14;1,03;-0,49;0,09;3,96;3,87;0;;;;-0,11;0,5
194911;1,82;-0,93;-0,91;0,08;0,95;0,87;1,27;;;;-2,01;-0,19
194912;5,13;2,07;1,75;0,09;7,08;6,99;-0,78;;;;3,44;0,69
195001;1,7;3,36;0,14;0,09;4,01;3,92;-2,32;;;;2,31;0,76
195002;1,48;0,04;-0,81;0,09;1,66;1,57;1,36;;;;0,06;1,1
195003;1,26;-1,41;-2,77;0,1;-0,19;-0,29;1,54;;;;-0,65;0,96
195004;3,94;1,99;1,34;0,09;4,83;4,74;0,33;;;;2,88;2,08
195005;4,31;-2,12;0,46;0,1;3,32;3,22;0,38;;;;-2,9;-1
195006;-5,94;-2,38;-0,78;0,1;-7,53;-7,63;-1,66;;;;-3,12;0,96
195007;1,36;0,51;13,66;0,1;5,03;4,93;-0,47;;;;7,5;0,75
195008;4,85;0,73;-1,41;0,1;5,01;4,91;3,21;;;;-3,14;5,36
195009;4,81;0,57;-1,11;0,1;5,47;5,37;-0,13;;;;0,36;0,31
195010;-0,18;-0,58;1,44;0,12;-0,46;-0,58;1,42;;;;-0,64;2,68
195011;2,76;-0,84;3,17;0,11;3,23;3,12;3,59;;;;0,79;1
195012;5,54;1,49;7,23;0,11;8,49;8,38;4,97;;;;7,4;-5,7
195101;5,7;1,73;3,72;0,13;7,58;7,45;2;;;;2,63;2,99
195102;1,41;0,09;-2,83;0,1;1,22;1,12;-1,58;;;;-3,19;2,53
195103;-2,15;-0,64;-4,22;0,11;-3,39;-3,5;-2,95;;;;-2,87;-0,39
195104;4,86;-1,49;3,28;0,13;4,05;3,92;6,02;;;;-0,25;1,74
195105;-2,34;-0,01;-1,33;0,12;-2,49;-2,61;-0,93;;;;-1,65;1,87
195106;-2,62;-1,95;-3,96;0,12;-4,55;-4,67;-2,39;;;;-4,56;-1,87
195107;6,94;-1,99;2,01;0,13;6,27;6,14;7,24;;;;1,09;4,08
195108;4,27;0,99;-0,16;0,13;4,72;4,59;1;;;;-0,59;0,13
195109;0,7;1,9;0,59;0,12;2,3;2,18;0,56;;;;1,31;1,3
195110;-2,53;-0,23;0,25;0,16;-2,41;-2,57;-0,31;;;;-0,57;2,39
195111;0,57;-0,29;-0,06;0,11;0,74;0,63;0,63;;;;-0,39;1,08
195112;3,33;-2,25;-1,55;0,12;1,52;1,4;1,7;;;;-2,14;1,42
195201;1,45;-0,61;1,54;0,15;1,73;1,58;1,37;;;;-0,99;1,83
